FORMNummer;KLE nummer
16.05.23.10;Ikke med i KLE
16.05.23.20;Ikke med i KLE
16.05.23.30;Ikke med i KLE
16.05.23.40;Ikke med i KLE
16.05.25;"19.03.00;19.03.01;19.03.02;19.03.03;19.03.04;19.03.06;19.03.08;19.03.10;19.03.11;19.03.15;19.03.17;19.03.22;19.03.25;19.03.30;19.03.36;19.03.44"
16.05.25.05;Ikke med i KLE
16.05.25.10;Ikke med i KLE
16.05.25.20;Ikke med i KLE
16.05.25.30;19.03.00
16.05.25.40;19.03.00
16.05.30;Ikke med i KLE
16.05.30.05;Ikke med i KLE
16.05.30.10;Ikke med i KLE
16.05.35;20.30.00
16.05.35.05;20.30.00
16.10;Ikke med i KLE
16.10.04;Ikke med i KLE
16.10.04.05;Ikke med i KLE
16.10.04.10;Ikke med i KLE
16.10.04.15;Ikke med i KLE
16.10.04.20;Ikke med i KLE
16.10.04.25;Ikke med i KLE
16.10.04.30;"20.04.01;20.04.02;20.04.05"
16.10.04.35;20.04.10
16.10.04.40;"20.08.00;20.08.02;20.08.04;20.08.06;20.08.10;20.08.12;20.08.16;20.08.20;20.08.25"
16.10.08;20.02.00
16.10.08.05;Ikke med i KLE
16.10.08.10;Ikke med i KLE
16.10.08.15;Ikke med i KLE
16.10.08.20;Ikke med i KLE
16.10.08.25;Ikke med i KLE
16.10.08.30;Ikke med i KLE
16.10.08.35;"20.02.01;20.02.03;22.09.00"
16.10.08.40;20.02.02
16.10.12;
16.10.12.05;Ikke med i KLE
16.10.16;"20.03.00;20.07.00"
16.10.16.05;"20.03.01;20.03.02"
16.10.16.10;20.03.05
16.10.16.15;"20.03.12;20.03.14"
16.10.16.20;20.03.20
16.10.16.25;"20.07.00;20.07.01;20.07.02;20.07.03;20.07.04;20.07.05;20.07.10;20.07.11;20.07.15;20.07.20;20.07.25"
16.10.20;"20.01.00
"
16.10.20.05;Ikke med i KLE
16.10.20.10;Ikke med i KLE
16.10.20.15;Ikke med i KLE
16.10.20.20;20.01.09
16.10.20.25;"20.01.01;20.01.02"
16.10.20.30;20.01.10
16.10.20.35;20.01.05
16.10.20.40;20.01.06
16.10.20.45;Ikke med i KLE
16.10.24;Ikke med i KLE
16.10.24.05;Ikke med i KLE
16.10.24.10;Ikke med i KLE
16.10.28;
16.10.28.05;00.05.07
16.10.32;20.00.00
16.10.32.10;20.00.00
16.10.32.20;Ikke med i KLE
16.10.32.30;Ikke med i KLE
16.20;Ikke med i KLE
16.20.10;Ikke med i KLE
16.20.10.10;Ikke med i KLE
16.20.10.20;Ikke med i KLE
16.20.10.30;Ikke med i KLE
16.20.10.40;Ikke med i KLE
16.20.20;Ikke med i KLE
16.20.20.10;Ikke med i KLE
16.20.20.20;Ikke med i KLE
16.20.30;
16.20.30.05;"20.05.01;20.05.10"
16.20.30.10;Ikke med i KLE
16.20.30.15;Ikke med i KLE
16.20.30.20;Ikke med i KLE
16.20.30.25;Ikke med i KLE
16.20.30.30;Ikke med i KLE
16.20.30.35;Ikke med i KLE
16.20.30.40;Ikke med i KLE
16.20.30.45;"20.05.15;20.05.16"
16.20.30.50;20.05.00
16.20.30.55;Ikke med i KLE
16.20.40;Ikke med i KLE
16.20.40.10;Ikke med i KLE
16.20.40.20;Ikke med i KLE
17;"04;18"
17.20;"18.15.00;18.18.00"
17.20.05;"18.15.00;18.18.00"
17.20.05.05;18.15.01
17.20.05.10;18.15.05
17.20.05.15;"17.11.24;17.11.28"
17.20.05.17;18.18.00
17.20.05.20;Ikke med i KLE
17.20.05.30;18.15.10
17.20.05.35;Ikke med i KLE
17.22;Ikke med i KLE
17.22.01;Ikke med i KLE
17.22.01.05;Ikke med i KLE
17.22.02;"04.04.00;04.08.00"
17.22.02.10;04.04.00
17.22.02.15;"04.08.00;04.08.09;04.08.10;04.08.11;04.08.12;04.08.14;04.08.20"
17.22.02.20;Ikke med i KLE
17.22.05;18.20.02
17.22.05.15;18.20.02
17.22.05.20;18.20.02
17.22.15;Ikke med i KLE
17.22.15.05;Ikke med i KLE
17.22.15.10;Ikke med i KLE
17.22.15.15;Ikke med i KLE
18;30
18.25;Ikke med i KLE
18.25.05;Ikke med i KLE
18.25.05.05;Ikke med i KLE
18.25.05.20;Ikke med i KLE
18.25.05.30;Ikke med i KLE
18.25.05.40;Ikke med i KLE
18.25.05.45;"84.05.00;84.05.01;84.05.02;84.05.03"
18.25.05.50;Ikke med i KLE
18.25.05.55;Ikke med i KLE
18.25.10;Ikke med i KLE
18.25.10.05;Ikke med i KLE
18.25.10.10;Ikke med i KLE
18.25.10.15;Ikke med i KLE
18.25.10.20;Ikke med i KLE
18.25.10.25;Ikke med i KLE
18.25.10.28;Ikke med i KLE
18.25.10.32;Ikke med i KLE
18.25.10.36;Ikke med i KLE
18.25.15;"04.31.00;04.31.01"
18.25.15.05;"04.31.00;04.31.09;04.31.10;04.31.11;04.31.15;04.31.20"
18.25.15.10;Ikke med i KLE
18.25.15.15;04.31.01
18.25.25;Ikke med i KLE
18.25.25.05;Ikke med i KLE
18.25.25.10;Ikke med i KLE
20;29
20.02;29.00.00
20.02.02;29.03.00
20.02.02.05;29.03.00
20.02.02.10;29.03.00
20.02.02.15;29.03.00
20.02.02.20;29.03.00
20.02.03;"29.03.00;29.30.00"
20.02.03.05;"29.03.04;29.03.08"
20.02.03.10;29.03.12
20.02.03.15;29.03.12
20.02.03.20;29.03.06
20.02.03.25;Ikke med i KLE
20.02.03.30;Ikke med i KLE
20.02.04;Ikke med i KLE
20.02.04.05;Ikke med i KLE
20.02.05;Ikke med i KLE
20.02.05.05;Ikke med i KLE
20.02.05.10;Ikke med i KLE
20.02.05.15;Ikke med i KLE
20.02.10;"01.01.02;29.30.04"
20.02.10.05;29.30.04
20.02.10.10;01.01.02
20.02.10.15;Ikke med i KLE
20.02.10.20;Ikke med i KLE
20.02.10.25;29.30.04
20.02.10.30;Ikke med i KLE
20.02.10.35;29.30.04
20.02.10.40;Ikke med i KLE
20.02.10.45;29.30.04
20.02.10.50;29.30.04
20.02.10.55;29.30.04
20.02.10.60;29.30.04
20.02.10.65;29.30.04
20.02.15;29.30.00
20.02.15.05;29.30.04
20.02.15.10;29.30.08
20.02.15.15;29.30.16
20.02.15.20;29.30.24
20.02.18;Ikke med i KLE
20.02.18.02;Ikke med i KLE
20.02.18.05;Ikke med i KLE
20.02.18.10;Ikke med i KLE
20.02.18.15;Ikke med i KLE
20.02.18.20;Ikke med i KLE
20.02.18.25;Ikke med i KLE
20.02.18.30;Ikke med i KLE
20.02.18.35;Ikke med i KLE
20.02.18.40;Ikke med i KLE
20.02.18.45;Ikke med i KLE
20.02.18.50;Ikke med i KLE
20.02.18.55;Ikke med i KLE
20.02.18.60;Ikke med i KLE
20.02.18.65;Ikke med i KLE
20.02.18.70;Ikke med i KLE
20.02.18.75;Ikke med i KLE
20.02.18.80;Ikke med i KLE
20.02.18.85;Ikke med i KLE
20.02.18.90;Ikke med i KLE
20.02.18.95;Ikke med i KLE
20.02.20;Ikke med i KLE
20.02.20.05;Ikke med i KLE
20.05;Ikke med i KLE
20.05.05;Ikke med i KLE
20.05.05.08;Ikke med i KLE
20.05.05.14;29.00.00
20.05.05.15;Ikke med i KLE
20.05.05.17;Ikke med i KLE
20.05.05.18;Ikke med i KLE
20.05.05.20;00.07.03
20.05.05.25;"00.07.07;00.07.08"
20.05.05.32;29.09.15
20.05.05.35;Ikke med i KLE
20.05.05.45;Ikke med i KLE
20.05.05.50;Ikke med i KLE
20.05.05.55;Ikke med i KLE
20.05.05.60;32.42.04
20.05.15;Ikke med i KLE
20.05.15.05;Ikke med i KLE
20.05.15.10;Ikke med i KLE
20.05.15.15;Ikke med i KLE
20.05.15.20;Ikke med i KLE
20.05.15.25;Ikke med i KLE
20.05.15.30;Ikke med i KLE
20.05.15.35;Ikke med i KLE
20.05.15.40;32.03.12
20.10;29.09.00
20.10.05;29.09.00
20.10.05.02;Ikke med i KLE
20.10.05.05;29.09.04
20.10.05.08;Ikke med i KLE
20.10.05.10;29.09.00
20.10.05.15;Ikke med i KLE
20.10.10;29.09.00
20.10.10.02;Ikke med i KLE
20.10.10.05;Ikke med i KLE
20.10.10.10;29.09.04
20.10.10.15;Ikke med i KLE
20.10.10.20;Ikke med i KLE
20.10.10.25;Ikke med i KLE
20.10.10.30;Ikke med i KLE
20.10.15;29.15.00
20.10.15.05;29.15.00
20.10.15.10;29.15.04
20.10.15.15;29.15.04
20.10.15.20;29.15.12
20.10.15.25;29.15.16
20.10.15.30;29.15.16
20.10.15.35;29.15.16
20.10.15.40;29.15.00
20.10.15.45;29.15.20
20.10.15.50;29.15.00
20.10.20;29.18.00
20.10.20.05;29.18.00
20.10.20.10;29.18.00
20.10.20.15;29.18.00
20.10.20.20;29.18.00
20.10.20.25;29.18.00
20.10.25;29.12.00
20.10.25.05;29.12.00
20.10.25.10;Ikke med i KLE
20.10.25.15;29.12.00
20.10.25.20;29.12.12
20.10.25.25;"29.12.16;29.12.20"
20.10.30;Ikke med i KLE
20.10.30.05;Ikke med i KLE
20.10.35;29.09.00
20.10.35.05;27.12.06
20.10.35.10;27.12.06
20.10.35.15;29.09.08
20.10.35.20;Ikke med i KLE
20.10.40;Ikke med i KLE
20.10.40.05;Ikke med i KLE
20.10.40.10;Ikke med i KLE
20.10.40.15;Ikke med i KLE
20.10.40.20;Ikke med i KLE
20.14;Ikke med i KLE
20.14.05;Ikke med i KLE
20.14.05.05;Ikke med i KLE
20.14.05.15;Ikke med i KLE
20.14.05.20;Ikke med i KLE
20.14.05.25;Ikke med i KLE
20.14.05.30;Ikke med i KLE
20.14.08;Ikke med i KLE
20.14.08.05;Ikke med i KLE
20.14.08.10;Ikke med i KLE
20.14.08.15;Ikke med i KLE
20.14.08.20;Ikke med i KLE
20.14.08.25;Ikke med i KLE
20.14.08.30;Ikke med i KLE
20.14.08.35;Ikke med i KLE
20.14.08.40;Ikke med i KLE
20.14.08.45;Ikke med i KLE
20.16;Ikke med i KLE
20.16.05;Ikke med i KLE
20.16.05.05;Ikke med i KLE
20.16.05.10;14.01.13
20.16.05.15;Ikke med i KLE
20.16.05.20;Ikke med i KLE
20.17;29.30.00
20.17.05;29.30.00
20.17.05.05;29.30.10
20.17.05.10;29.30.10
20.17.10;14.00.09
20.17.10.05;14.00.09
20.17.10.10;14.00.09
20.17.15;29.30.00
20.17.15.05;29.30.10
20.17.15.10;29.30.10
20.17.15.15;29.30.10
20.17.15.20;29.30.10
20.17.15.25;29.30.10
20.17.20;29.30.00
20.17.20.05;29.30.10
20.17.20.10;29.30.10
20.17.25;29.30.00
20.17.25.05;29.30.10
20.17.25.10;29.30.10
20.17.25.15;29.30.10
20.17.25.20;29.30.10
20.17.25.25;29.30.10
20.17.30;29.30.00
20.17.30.05;29.30.10
20.17.30.10;29.30.10
20.19;Ikke med i KLE
20.19.02;Ikke med i KLE
20.19.02.05;29.30.08
20.19.02.10;Ikke med i KLE
20.19.02.15;Ikke med i KLE
20.19.02.20;Ikke med i KLE
20.19.02.25;Ikke med i KLE
20.19.02.30;Ikke med i KLE
20.19.02.35;Ikke med i KLE
20.19.02.40;Ikke med i KLE
20.19.02.45;Ikke med i KLE
20.19.03;29.27.00
20.19.03.05;29.27.00
20.19.03.10;Ikke med i KLE
20.19.03.15;29.27.00
20.19.03.20;Ikke med i KLE
20.20;Ikke med i KLE
20.20.05;Ikke med i KLE
20.20.05.05;Ikke med i KLE
20.20.05.10;Ikke med i KLE
20.20.05.15;Ikke med i KLE
20.20.05.25;Ikke med i KLE
20.20.05.30;Ikke med i KLE
20.20.10;Ikke med i KLE
20.20.10.20;Ikke med i KLE
20.20.10.25;Ikke med i KLE
20.20.10.30;Ikke med i KLE
20.20.10.35;Ikke med i KLE
20.20.10.40;Ikke med i KLE
20.20.12;Ikke med i KLE
20.20.12.05;Ikke med i KLE
20.20.12.10;Ikke med i KLE
20.20.12.15;Ikke med i KLE
20.20.12.25;Ikke med i KLE
20.20.12.30;Ikke med i KLE
20.20.15;Ikke med i KLE
20.20.15.05;Ikke med i KLE
20.20.15.10;Ikke med i KLE
20.20.15.15;Ikke med i KLE
20.20.15.22;Ikke med i KLE
20.20.15.38;Ikke med i KLE
20.20.15.45;Ikke med i KLE
20.20.15.57;Ikke med i KLE
20.20.15.59;Ikke med i KLE
20.20.15.60;Ikke med i KLE
20.20.15.80;Ikke med i KLE
20.20.17;Ikke med i KLE
20.20.17.05;Ikke med i KLE
20.20.17.10;Ikke med i KLE
20.20.19;Ikke med i KLE
20.20.19.05;Ikke med i KLE
20.20.19.10;Ikke med i KLE
20.20.21;Ikke med i KLE
20.20.21.05;Ikke med i KLE
20.20.21.10;Ikke med i KLE
20.20.21.15;Ikke med i KLE
20.20.21.20;Ikke med i KLE
20.20.27;Ikke med i KLE
20.20.27.05;27.36.04
20.20.27.10;Ikke med i KLE
20.20.27.15;Ikke med i KLE
20.20.30;Ikke med i KLE
20.20.30.03;Ikke med i KLE
20.20.30.05;Ikke med i KLE
20.20.30.07;Ikke med i KLE
20.20.30.09;Ikke med i KLE
20.20.30.10;Ikke med i KLE
20.20.30.12;Ikke med i KLE
20.20.30.15;Ikke med i KLE
20.20.30.20;Ikke med i KLE
20.20.40;"27.51.00;29.24.00"
20.20.40.05;29.24.04
20.20.40.10;"27.51.04;29.24.08"
20.20.40.15;Ikke med i KLE
20.20.40.20;Ikke med i KLE
20.20.40.25;Ikke med i KLE
20.20.40.30;Ikke med i KLE
20.20.40.35;Ikke med i KLE
20.20.40.40;Ikke med i KLE
20.20.40.45;"27.24.42;27.51.04"
20.20.40.50;Ikke med i KLE
20.20.40.55;29.24.12
20.20.45;Ikke med i KLE
20.20.45.05;Ikke med i KLE
20.20.45.10;Ikke med i KLE
20.20.50;29.21.00
20.20.50.05;29.21.04
20.20.50.10;29.21.04
20.20.50.15;29.21.08
20.30;32.42.00
20.30.05;29.30.00
20.30.05.05;29.30.12
20.30.10;32.42.00
20.30.10.05;Ikke med i KLE
20.30.10.10;32.42.04
20.30.10.15;Ikke med i KLE
20.30.15;32.42.00
20.30.15.05;32.42.04
20.30.15.10;32.42.04
20.30.15.15;32.42.04
20.30.15.20;32.42.04
24;28
24.05;28.00.00
24.05.02;28.09.00
24.05.02.05;28.03.04
24.05.02.10;28.09.40
24.05.02.15;"28.09.44;28.09.48"
24.05.02.20;"28.09.16;28.09.24;84.11.00"
24.05.02.25;28.09.28
24.05.02.30;28.09.04
24.05.02.35;28.09.08
24.05.02.40;28.09.20
24.05.02.45;"28.09.12;28.09.32;28.09.36"
24.05.02.50;"27.18.00;27.18.02;27.18.12;27.18.16"
24.05.02.55;28.09.00
24.05.04;"28.03.00;28.18.00"
24.05.04.05;28.03.16
24.05.04.10;28.18.04
24.05.04.15;28.18.08
24.05.06;"28.03.00;28.12.00"
24.05.06.05;28.03.08
24.05.06.10;28.12.28
24.05.06.15;28.12.32
24.05.06.20;"28.12.08;28.12.16"
24.05.06.25;28.12.20
24.05.06.30;28.12.12
24.05.06.35;"28.12.04;28.12.24"
24.05.10;"28.03.00;28.15.00"
24.05.10.01;28.03.12
24.05.10.02;28.15.16
24.05.10.07;28.15.20
24.05.10.12;28.15.04
24.05.10.17;28.15.08
24.05.10.29;"27.18.00;27.18.02;27.18.24"
26;"27;32"
26.05;27.00.00
26.05.05;27.69.00
26.05.05.05;"32.45.04;32.45.20"
26.05.05.10;"27.69.40;84.12.00"
26.05.05.15;27.69.48
26.05.05.20;Ikke med i KLE
26.05.10;Ikke med i KLE
26.05.10.05;Ikke med i KLE
26.05.10.10;Ikke med i KLE
26.05.10.15;Ikke med i KLE
26.05.12;Ikke med i KLE
26.05.12.05;Ikke med i KLE
26.05.15;27.15.12
26.05.15.05;27.15.12
26.05.15.10;27.15.12
26.10;27.60.00
26.10.05;27.60.00
26.10.05.20;"27.60.04;27.60.08;27.60.12;27.60.14"
26.10.05.25;27.60.16
26.10.05.30;27.60.20
26.10.05.35;27.60.24
26.10.05.40;27.60.28
26.10.05.45;Ikke med i KLE
26.11;"27.36.00;27.39.00"
26.11.05;"27.36.00;27.39.00"
26.11.05.02;27.35.04
26.11.05.05;27.36.20
26.11.05.10;27.36.04
26.11.05.15;27.36.04
26.11.05.20;27.36.04
26.11.05.25;27.36.24
26.11.05.30;27.36.06
26.11.05.35;27.36.08
26.11.05.40;27.36.12
26.11.05.45;27.36.16
26.11.10;27.35.00
26.11.10.05;27.35.16
26.11.10.10;27.35.20
26.11.10.15;27.35.24
26.15;"27.24.00;27.27.00;27.42.00;27.51.00;27.54.00;27.57.00;29.09.00"
26.15.05;"27.42.00;29.09.00"
26.15.05.05;"27.42.00;27.42.04;27.42.08;27.42.12;27.42.20;27.42.24;27.42.28;27.42.32;27.42.36;27.42.40;29.09.20"
26.15.10;"27.57.00;03.22.00"
26.15.10.05;27.57.04
26.15.10.10;27.57.08
26.15.10.11;27.57.12
26.15.10.13;27.57.16
26.15.10.15;"03.22.00;03.22.05;03.22.10;03.22.15"
26.15.10.20;27.35.12
26.15.10.25;27.57.20
26.15.15;"27.51.00;27.54.00"
26.15.15.05;"27.24.42;27.51.04;27.54.08"
26.15.15.10;"27.54.00;27.54.04;27.54.08"
26.15.15.20;27.51.08
26.15.22;27.12.00
26.15.22.05;"27.12.06;27.12.08"
26.15.22.10;"27.12.04;27.12.12"
26.15.22.15;"27.12.06;27.12.12"
26.15.30;27.24.00
26.15.30.05;27.24.45
26.15.30.15;27.24.03
26.15.30.20;27.24.39
26.15.30.25;27.24.20
26.15.30.30;27.24.19
26.15.30.35;27.24.26
26.15.30.40;Ikke med i KLE
26.15.40;"27.24.00;27.27.00"
26.15.40.05;27.24.24
26.15.40.10;27.24.25
26.15.40.15;"27.27.27;27.27.30;27.27.32;27.27.33;27.27.36;27.27.39;27.27.42;27.27.45;27.27.48"
26.15.40.20;27.24.27
26.15.50;27.30.00 Anbringelsessteder, godkendelse, opfølgning og tilsyn i almindelighed
26.15.50.05;27.30.04
26.15.50.10;27.30.08
26.15.50.15;27.30.12
26.15.50.20;"27.03.26;27.03.30;27.03.34;27.30.16"
26.15.60;27.33.00
26.15.60.10;27.33.04
26.15.60.20;27.33.08
26.25;"27.00.00;32.00.00"
26.25.05;"32.00.00;32.21.00"
26.25.05.05;32.42.08
26.25.05.09;"27.63.00;27.63.04"
26.25.05.10;32.18.14
26.25.05.30;32.21.12
26.25.05.35;32.21.14
26.25.05.40;32.21.16
26.25.05.45;32.21.17
26.25.05.50;32.21.20
26.25.05.55;32.21.24
26.25.05.60;32.21.28
26.25.08;32.18.00
26.25.08.05;"32.18.04;32.18.08
"
26.25.08.10;32.18.12
26.25.08.15;27.48.04
26.25.10;"32.10.00;32.12.00"
26.25.10.05;"32.10.00;32.10.04;32.10.08;32.10.12;32.10.16;32.10.20;32.10.24;32.10.28;32.10.32;32.10.36;32.10.40;32.10.44;32.10.48;32.10.52;32.10.56;32.10.60;32.10.64;32.10.68"
26.25.10.15;"32.12.00;32.12.04;32.12.08"
26.25.15;"32.06.00;32.24.03"
26.25.15.05;32.06.04
26.25.15.10;"32.06.08;32.06.12"
26.25.15.15;32.06.16
26.30;32.03.00
26.30.05;32.03.00
26.30.05.05;"32.03.04;32.03.08;32.03.42"
26.30.05.10;"32.03.16;32.03.18;32.03.20;32.03.32;32.03.34;32.03.36;32.03.38;32.03.46"
26.30.10;32.03.00
26.30.10.05;"32.03.10;32.03.12;32.03.14"
26.30.10.10;32.03.04
26.30.10.15;Ikke med i KLE
26.30.15;Ikke med i KLE
26.30.15.05;Ikke med i KLE
26.40;"03.25.00;15.40.00;32.36.00"
26.40.10;30.10.45
26.40.10.05;30.10.45
26.40.10.10;Ikke med i KLE
26.40.10.15;29.35.00
26.40.15;"03.25.00;15.40.00;32.24.00"
26.40.15.05;"03.25.00;03.25.01;03.25.03;03.25.07;03.25.12;03.25.15;03.25.16;03.25.18;03.25.25"
26.40.15.08;15.40.15
26.40.15.15;15.40.10
26.40.15.18;"15.20.51;32.24.48"
26.40.15.20;"15.40.20;54.17.00"
26.40.15.25;15.40.00
26.40.15.30;"15.40.22;32.26.08"
26.40.20;32.36.00
26.40.20.05;32.36.00
26.40.20.10;32.36.00
30;25
30.04;25.00.00
30.04.05;Ikke med i KLE
30.04.05.05;Ikke med i KLE
30.04.05.10;Ikke med i KLE
30.04.05.15;Ikke med i KLE
30.04.05.20;Ikke med i KLE
30.04.05.25;Ikke med i KLE
30.04.10;25.10.00
30.04.10.05;25.10.15
30.04.10.10;Ikke med i KLE
30.04.10.15;Ikke med i KLE
30.06;25.20.00
30.06.05;Ikke med i KLE
30.06.05.05;Ikke med i KLE
30.06.05.10;Ikke med i KLE
30.06.05.15;Ikke med i KLE
30.06.05.17;Ikke med i KLE
30.06.05.20;Ikke med i KLE
30.06.05.25;Ikke med i KLE
30.06.05.30;Ikke med i KLE
30.06.05.35;Ikke med i KLE
30.06.05.40;Ikke med i KLE
30.06.05.45;Ikke med i KLE
30.06.05.50;Ikke med i KLE
30.06.05.55;Ikke med i KLE
30.06.10;Ikke med i KLE
30.06.10.05;Ikke med i KLE
30.06.10.10;Ikke med i KLE
30.06.10.15;Ikke med i KLE
30.06.10.20;Ikke med i KLE
30.06.15;Ikke med i KLE
30.06.15.05;Ikke med i KLE
30.06.15.10;Ikke med i KLE
30.06.15.15;Ikke med i KLE
30.06.15.20;Ikke med i KLE
30.06.15.25;Ikke med i KLE
30.06.15.30;Ikke med i KLE
30.06.15.35;Ikke med i KLE
30.06.15.40;Ikke med i KLE
30.06.20;25.20.00
30.06.20.05;25.20.10
30.06.20.10;25.20.10
30.06.20.50;Ikke med i KLE
30.06.25;Ikke med i KLE
30.06.25.05;Ikke med i KLE
30.06.25.10;Ikke med i KLE
30.06.25.15;Ikke med i KLE
30.06.25.20;Ikke med i KLE
30.06.35;Ikke med i KLE
30.06.35.05;Ikke med i KLE
30.06.40;Ikke med i KLE
30.06.40.05;Ikke med i KLE
30.06.40.10;Ikke med i KLE
30.06.45;25.03.00
30.06.45.05;25.03.00
30.06.50;25.02.00
30.06.50.05;Ikke med i KLE
30.06.50.10;"25.02.01;25.02.08"
30.06.50.15;25.02.03
30.06.50.20;25.02.09
30.15;Ikke med i KLE
30.15.05;Ikke med i KLE
30.15.05.03;Ikke med i KLE
30.15.05.06;Ikke med i KLE
30.15.05.08;Ikke med i KLE
30.15.05.10;Ikke med i KLE
30.15.05.15;Ikke med i KLE
30.15.05.20;Ikke med i KLE
30.15.10;Ikke med i KLE
30.15.10.05;Ikke med i KLE
30.15.10.07;Ikke med i KLE
30.15.10.10;Ikke med i KLE
30.15.10.15;Ikke med i KLE
30.15.10.20;Ikke med i KLE
30.15.15;Ikke med i KLE
30.15.15.05;Ikke med i KLE
30.15.15.10;Ikke med i KLE
30.15.20;Ikke med i KLE
30.15.20.05;Ikke med i KLE
30.15.20.10;Ikke med i KLE
30.15.20.15;Ikke med i KLE
30.15.20.17;Ikke med i KLE
30.15.20.18;Ikke med i KLE
30.15.20.22;Ikke med i KLE
30.15.20.25;Ikke med i KLE
30.15.20.28;Ikke med i KLE
30.15.20.30;Ikke med i KLE
30.15.20.33;Ikke med i KLE
30.15.20.35;Ikke med i KLE
30.15.20.38;Ikke med i KLE
30.15.20.43;06.01.17
30.15.20.45;Ikke med i KLE
30.15.20.48;Ikke med i KLE
30.15.20.50;Ikke med i KLE
30.15.20.53;Ikke med i KLE
30.15.20.55;Ikke med i KLE
30.15.20.58;Ikke med i KLE
30.15.23;Ikke med i KLE
30.15.23.03;Ikke med i KLE
30.15.23.06;Ikke med i KLE
30.15.23.10;Ikke med i KLE
30.15.23.14;Ikke med i KLE
30.15.23.20;Ikke med i KLE
30.15.23.25;Ikke med i KLE
30.15.23.30;Ikke med i KLE
30.15.23.35;Ikke med i KLE
30.15.23.50;Ikke med i KLE
30.15.25;Ikke med i KLE
30.15.25.05;Ikke med i KLE
30.15.25.10;Ikke med i KLE
30.15.25.15;Ikke med i KLE
30.15.27;Ikke med i KLE
30.15.27.05;Ikke med i KLE
30.15.27.10;Ikke med i KLE
30.15.27.15;Ikke med i KLE
30.15.28;Ikke med i KLE
30.15.28.05;Ikke med i KLE
30.15.28.10;Ikke med i KLE
30.15.28.15;Ikke med i KLE
30.15.30;Ikke med i KLE
30.15.30.03;Ikke med i KLE
30.15.30.08;Ikke med i KLE
30.15.30.13;Ikke med i KLE
30.15.30.15;Ikke med i KLE
30.15.30.20;Ikke med i KLE
30.15.30.25;Ikke med i KLE
30.15.30.30;Ikke med i KLE
30.15.30.35;Ikke med i KLE
30.20;Ikke med i KLE
30.20.05;Ikke med i KLE
30.20.05.05;Ikke med i KLE
30.20.05.10;Ikke med i KLE
30.20.05.15;Ikke med i KLE
30.20.05.20;Ikke med i KLE
30.20.10;Ikke med i KLE
30.20.10.05;Ikke med i KLE
30.20.10.10;Ikke med i KLE
30.20.10.15;Ikke med i KLE
30.20.10.20;Ikke med i KLE
30.20.10.25;Ikke med i KLE
30.20.10.30;Ikke med i KLE
30.20.15;Ikke med i KLE
30.20.15.05;Ikke med i KLE
30.20.15.10;Ikke med i KLE
30.20.20;Ikke med i KLE
30.20.20.05;Ikke med i KLE
30.20.20.10;Ikke med i KLE
30.20.25;Ikke med i KLE
30.20.25.05;Ikke med i KLE
30.25;25.00.01
30.25.05;25.00.01
30.25.05.10;Ikke med i KLE
30.25.05.15;Ikke med i KLE
30.25.05.20;25.00.01
30.25.05.25;25.00.01
30.25.05.30;Ikke med i KLE
30.27;"25.00.00;25.45.00;32.45.00"
30.27.05;"25.45.00;32.45.00"
30.27.05.05;"25.45.00;25.45.10;32.45.00;32.45.10;32.45.20"
30.27.10;25.00.00
30.27.10.05;25.00.00
30.27.10.10;25.00.00
34;"22;24"
34.02;Ikke med i KLE
34.02.05;Ikke med i KLE
34.02.05.05;Ikke med i KLE
34.02.05.10;Ikke med i KLE
34.02.05.15;Ikke med i KLE
34.02.05.20;Ikke med i KLE
34.02.05.25;Ikke med i KLE
34.02.05.35;Ikke med i KLE
34.02.10;Ikke med i KLE
34.02.10.05;Ikke med i KLE
34.02.10.10;Ikke med i KLE
34.02.10.15;Ikke med i KLE
34.05;24.10.00
34.05.03;24.10.00
34.05.03.03;24.10.11
34.05.03.05;24.10.00
34.05.03.12;24.10.07
34.05.03.14;24.10.07
34.05.03.16;24.10.07
34.05.03.18;24.10.07
34.05.03.22;24.10.07
34.05.03.24;24.10.07
34.05.03.26;24.10.07
34.05.03.28;24.10.07
34.05.03.30;24.10.07
34.05.03.32;24.10.07
34.05.03.34;24.10.07
34.05.03.36;24.10.07
34.05.03.38;24.10.07
34.05.03.40;24.10.07
34.05.04;Ikke med i KLE
34.05.04.05;Ikke med i KLE
34.05.04.10;Ikke med i KLE
34.05.04.15;Ikke med i KLE
34.05.04.17;Ikke med i KLE
34.05.04.20;Ikke med i KLE
34.05.04.22;Ikke med i KLE
34.05.04.25;Ikke med i KLE
34.05.04.30;Ikke med i KLE
34.05.04.35;Ikke med i KLE
34.05.04.40;Ikke med i KLE
34.05.04.45;Ikke med i KLE
34.05.04.50;Ikke med i KLE
34.05.04.55;Ikke med i KLE
34.05.05;24.10.00
34.05.05.05;Ikke med i KLE
34.05.05.10;Ikke med i KLE
34.05.05.15;24.10.00
34.05.05.20;24.10.00
34.05.15;Ikke med i KLE
34.05.15.02;Ikke med i KLE
34.05.15.06;Ikke med i KLE
34.05.15.08;Ikke med i KLE
34.05.15.10;Ikke med i KLE
34.05.15.15;Ikke med i KLE
34.05.15.25;Ikke med i KLE
34.05.15.30;Ikke med i KLE
34.05.15.37;Ikke med i KLE
34.05.15.50;Ikke med i KLE
34.05.15.55;Ikke med i KLE
34.05.15.60;Ikke med i KLE
